Mandante,Placar,Visitante,Rodada,Coringa,Jogador
Flamengo,2 x 1,Internacional,1,SIM,RENAN
Vasco,2 x 0,Santos,1,NÃO,RENAN
Juventude,1 x 0,Vitória,1,NÃO,RENAN
São Paulo,2 x 0,Sport,1,NÃO,RENAN
Bragantino,1 x 1,Ceará,1,NÃO,RENAN
Cruzeiro,2 x 0,Mirassol,1,NÃO,RENAN
Grêmio,1 x 1,Atlético-MG,1,NÃO,RENAN
Bahia,1 x 1,Corinthians,1,NÃO,RENAN
Fortaleza,1 x 2,Fluminense,1,NÃO,RENAN
Palmeiras,2 x 1,Botafogo,1,SIM,RENAN
Atlético-MG,2 x 1,São Paulo,2,SIM,RENAN
Botafogo,2 x 0,Juventude,2,NÃO,RENAN
Corinthians,1 x 1,Vasco,2,NÃO,RENAN
Santos,1 x 1,Bahia,2,NÃO,RENAN
Mirassol,1 x 0,Fortaleza,2,NÃO,RENAN
Sport,1 x 3,Palmeiras,2,NÃO,RENAN
Fluminense,2 x 1,Bragantino,2,NÃO,RENAN
Vitória,0 x 2,Flamengo,2,NÃO,RENAN
Ceará,1 x 2,Grêmio,2,NÃO,RENAN
Internacional,1 x 1,Cruzeiro,2,SIM,RENAN
Palmeiras,1 x 1,Corinthians,3,SIM,RENAN
Vasco,2 x 0,Sport,3,NÃO,RENAN
Fluminense,2 x 1,Santos,3,NÃO,RENAN
São Paulo,2 x 1,Cruzeiro,3,NÃO,RENAN
Bragantino,1 x 1,Botafogo,3,NÃO,RENAN
Atlético-MG,1 x 0,Vitória,3,NÃO,RENAN
Juventude,2 x 1,Ceará,3,NÃO,RENAN
Bahia,2 x 0,Mirassol,3,NÃO,RENAN
Fortaleza,1 x 0,Internacional,3,NÃO,RENAN
Grêmio,1 x 2,Flamengo,3,SIM,RENAN
Santos,2 x 1,Atlético-MG,4,SIM,RENAN
Botafogo,2 x 2,São Paulo,4,NÃO,RENAN
Corinthians,1 x 0,Fluminense,4,NÃO,RENAN
