Rodada,Mandante,Placar,Visitante
1,São Paulo,0 x 0,Sport
1,Cruzeiro,2 x 1,Mirassol
1,Grêmio,2 x 1,Atlético-MG
1,Fortaleza,2 x 0,Fluminense
1,Juventude,2 x 0,Vitória
1,Flamengo,1 x 1,Internacional
1,Palmeiras,0 x 0,Botafogo
1,Vasco,2 x 1,Santos
1,Bahia,1 x 1,Corinthians
1,Bragantino,2 x 2,Ceará
2,Corinthians,3 x 0,Vasco
2,Ceará,2 x 0,Grêmio
2,Botafogo,2 x 0,Juventude
2,Fluminense,2 x 1,Bragantino
2,Atlético-MG,0 x 0,São Paulo
2,Mirassol,1 x 1,Fortaleza
2,Internacional,3 x 0,Cruzeiro
2,Vitória,1 x 2,Flamengo
2,Sport,1 x 2,Palmeiras
2,Santos,2 x 2,Bahia
3,Bragantino,1 x 0,Botafogo
3,Juventude,2 x 1,Ceará
3,Palmeiras,2 x 0,Corinthians
3,Vasco,3 x 1,Sport
3,Bahia,1 x 1,Mirassol
3,São Paulo,1 x 1,Cruzeiro
3,Grêmio,0 x 2,Flamengo
3,Fluminense,1 x 0,Santos
3,Fortaleza,0 x 0,Internacional
3,Atlético-MG,2 x 2,Vitória
4,Ceará,2 x 1,Vasco
4,Botafogo,2 x 2,São Paulo
4,Mirassol,4 x 1,Grêmio
4,Sport,0 x 1,Bragantino
4,Corinthians,0 x 2,Fluminense
4,Internacional,0 x 1,Palmeiras
4,Flamengo,6 x 0,Juventude
4,Santos,2 x 0,Atlético-MG
4,Vitória,2 x 1,Fortaleza
4,Cruzeiro,3 x 0,Bahia
5,Corinthians,2 x 1,Sport
5,Vasco,0 x 0,Flamengo
5,Grêmio,1 x 1,Internacional
5,Juventude,2 x 2,Mirassol
5,São Paulo,2 x 1,Santos
5,Atlético-MG,1 x 0,Botafogo
5,Fluminense,1 x 1,Vitória
5,Fortaleza,1 x 2,Palmeiras
5,Bragantino,1 x 0,Cruzeiro
5,Bahia,1 x 0,Ceará
6,Internacional,3 x 1,Juventude
6,Mirassol,2 x 2,Atlético-MG
6,Ceará,1 x 1,São Paulo
6,Sport,0 x 0,Fortaleza
6,Botafogo,2 x 0,Fluminense
6,Flamengo,4 x 0,Corinthians
6,Palmeiras,0 x 1,Bahia
